ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb
1477700,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,31,0.0,15,244136365798787,53,19.2,649.2724609375,1.0040000677108765,16,0.0,0.0,1.57542003E9,,,,0,,1,0.0
1477701,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,7,0.0,7183,244136366841105,7,37.8,250.1302490234375,0.047600001096725464,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.03
1477701,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,19,0.0,7183,244136361297226,27,24.1,-423.4890441894531,0.5519999861717224,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.03
1477701,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,21,0.0,7183,244136361178572,434,8.5,-571.6422119140625,11.642000198364258,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.03
1477701,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,27,0.0,7183,244136370646023,12,32.4,-187.40428161621094,0.05090000107884407,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.03
1477701,1507724000000,,,-1263065028725181240,-0.46921730041503906,22.679600078845397,-14.009594338088675,9.75211394550393,1,30,0.0,7183,244136368818911,10,34.3,341.86407470703125,0.04610000178217888,16,0.0,0.0,1.57542003E9,,,,0,,6,-0.03
1478675,1508724000000,,,-1263065028725181251,-0.8835067749023438,26.39621015987359,-9.082381058059934,13.475209945560099,1,14,0.0,207,82119385194934,27,24.4,69.25160217285156,0.8739999532699585,16,0.0,0.0,1.59806246E9,,,,0,,3,2.69
1478675,1508724000000,,,-1263065028725181251,-0.8835067749023438,26.39621015987359,-9.082381058059934,13.475209945560099,1,13,0.0,207,82119375981363,62,19.4,697.30126953125,2.7190001010894775,16,0.0,0.0,1.60087501E9,,,,0,,3,2.69
1478675,1508724000000,,,-1263065028725181251,-0.8835067749023438,26.39621015987359,-9.082381058059934,13.475209945560099,1,15,0.0,207,82119379340503,14,30.1,-632.7294921875,0.25429999828338623,16,0.0,0.0,1.602E9,,,,0,,3,2.69
1478676,1508724000000,,,-1263065028725181251,-0.8835067749023438,26.39621015987359,-9.082381058059934,13.475209945560099,1,5,0.0,207,82119375597410,8,36.3,-649.9398803710938,0.24370001256465912,16,0.0,0.0,1.60256256E9,,,,0,,3,2.69
1478676,1508724000000,,,-1263065028725181251,-0.8835067749023438,26.39621015987359,-9.082381058059934,13.475209945560099,1,3,0.0,207,82119378884197,19,27.6,458.4302062988281,0.26829999685287476,16,0.0,0.0,1.60481254E9,,,,0,,3,2.69
1478676,1508724000000,,,-1263065028725181251,-0.8835067749023438,26.39621015987359,-9.082381058059934,13.475209945560099,1,4,0.0,207,82119384385274,6,38.0,-165.92001342773438,0.22610001266002655,16,0.0,0.0,1.60537498E9,,,,0,,3,2.69
1478676,1508724000000,,,-1263065028725181251,-0.8835067749023438,26.39621015987359,-9.082381058059934,13.475209945560099,1,3,0.0,15,244137380380170,10,34.1,296.6796875,0.022099999710917473,16,0.0,0.0,1.57542003E9,,,,0,,1,0.06
1478676,1508724000000,,,-1263065028725181251,-0.8835067749023438,26.39621015987359,-9.082381058059934,13.475209945560099,1,4,0.0,15,244137380472223,9,35.0,-105.29065704345703,0.02160000056028366,16,0.0,0.0,1.57542003E9,,,,0,,1,0.06
1478676,1508724000000,,,-1263065028725181251,-0.8835067749023438,26.39621015987359,-9.082381058059934,13.475209945560099,1,6,0.0,15,244137368487360,31,23.4,-21.03696632385254,0.7384999990463257,16,0.0,0.0,1.57542003E9,,,,0,,1,0.06
1478676,1508724000000,,,-1263065028725181251,-0.8835067749023438,26.39621015987359,-9.082381058059934,13.475209945560099,1,7,0.0,15,244137369328827,61,19.8,-517.9508666992188,2.430000066757202,16,0.0,0.0,1.57542003E9,,,,0,,1,0.06
1478676,1508724000000,,,-1263065028725181251,-0.8835067749023438,26.39621015987359,-9.082381058059934,13.475209945560099,1,9,0.0,15,244137376325754,13,31.1,-397.78948974609375,0.04920000210404396,16,0.0,0.0,1.57542003E9,,,,0,,1,0.06
1478676,1508724000000,,,-1263065028725181251,-0.8835067749023438,26.39621015987359,-9.082381058059934,13.475209945560099,1,16,0.0,15,244137378082599,9,35.9,-178.5826416015625,0.048600003123283386,16,0.0,0.0,1.57542003E9,,,,0,,1,0.06
1478676,1508724000000,,,-1263065028725181251,-0.8835067749023438,26.39621015987359,-9.082381058059934,13.475209945560099,1,22,0.0,15,244137375764431,17,28.6,505.6217041015625,0.055800002068281174,16,0.0,0.0,1.57542003E9,,,,0,,1,0.06
1478676,1508724000000,,,-1263065028725181251,-0.8835067749023438,26.39621015987359,-9.082381058059934,13.475209945560099,1,23,0.0,15,244137379198592,9,35.0,-204.72244262695312,0.05010000243782997,16,0.0,0.0,1.57542003E9,,,,0,,1,0.06
1478677,1508724000000,,,-1263065028725181251,-0.8835067749023438,26.39621015987359,-9.082381058059934,13.475209945560099,1,26,0.0,15,244137375623504,11,33.2,239.03016662597656,0.04540000110864639,16,0.0,0.0,1.57542003E9,,,,0,,1,0.06
1478677,1508724000000,,,-1263065028725181251,-0.8835067749023438,26.39621015987359,-9.082381058059934,13.475209945560099,1,31,0.0,15,244137365796622,61,19.2,649.2724609375,2.504000186920166,16,0.0,0.0,1.57542003E9,,,,0,,1,0.06
